Facility ID,Name,Category,Description,Street Address,City,Postal Code,Latitude,Longitude,Status,Contact Phone,Manager,Rating
156,E-bike Station 156,E-bike Station,This is a e-bike station located at Market St,342 Market St,Abuja,15635,1.316582,7.235012,Out of Service,+234-855-4015,Green Solutions Ltd.,3.7
157,Recycling Bin 157,Eco-business,This is a solar panel station located at Main St,781 Main St,Lagos,64299,-0.343135,7.016393,Operational,+234-722-8918,EcoSave Corp.,4.1
158,EV Charging Station 158,EV Charging Station,This is a eco-business located at Broadway,632 Market St,Abuja,57447,5.943467,7.871589,Under Maintenance,+234-780-1184,Eco Future Inc.,4.2
159,Solar Panel Station 159,Eco-business,This is a recycling bin located at Broadway,738 Market St,Ibadan,53140,-0.962346,4.970824,Under Maintenance,+234-777-9894,Green Solutions Ltd.,3.1
160,Eco-business 160,E-bike Station,This is a eco-business located at Main St,725 Highland Ave,Abuja,30380,-0.591127,5.388228,Out of Service,+234-708-7166,Eco Future Inc.,3.8
161,Solar Panel Station 161,E-bike Station,This is a recycling bin located at Broadway,543 Broadway,Port Harcourt,16331,2.341547,6.709044,Operational,+234-776-6306,Sustainability Hub,3.4
162,E-bike Station 162,EV Charging Station,This is a e-bike station located at Highland Ave,498 Highland Ave,Ibadan,96057,6.208162,7.013946,Operational,+234-825-3417,Green Solutions Ltd.,4.0
163,Eco-business 163,EV Charging Station,This is a ev charging station located at Main St,924 Sunset Blvd,Lagos,89614,6.027342,4.127904,Under Maintenance,+234-888-5292,Eco Future Inc.,4.8
164,Eco-business 164,Recycling Bin,This is a e-bike station located at Broadway,225 Broadway,Port Harcourt,90137,-0.567967,7.564792,Operational,+234-838-2504,EcoSave Corp.,4.9
165,EV Charging Station 165,Eco-business,This is a ev charging station located at Market St,664 Market St,Ibadan,81588,5.744313,4.708924,Under Maintenance,+234-897-9892,Eco Future Inc.,4.2
166,Recycling Bin 166,E-bike Station,This is a eco-business located at Broadway,852 Market St,Port Harcourt,55686,1.393088,5.330478,Operational,+234-856-7557,EcoSave Corp.,3.3
167,E-bike Station 167,EV Charging Station,This is a eco-business located at Market St,566 Broadway,Port Harcourt,46898,5.567087,6.05929,Operational,+234-891-7235,EcoSave Corp.,4.3
168,Recycling Bin 168,EV Charging Station,This is a ev charging station located at Market St,654 Market St,Kano,11830,0.688221,4.993066,Out of Service,+234-865-8912,Green Solutions Ltd.,3.8
169,Eco-business 169,E-bike Station,This is a solar panel station located at Main St,200 Main St,Ibadan,39900,2.083392,4.685955,Out of Service,+234-740-9182,Eco Future Inc.,4.3
170,EV Charging Station 170,Recycling Bin,This is a eco-business located at Sunset Blvd,561 Highland Ave,Ibadan,23555,-0.669886,4.22284,Under Maintenance,+234-734-9718,Sustainability Hub,4.7
171,Solar Panel Station 171,Recycling Bin,This is a e-bike station located at Highland Ave,249 Market St,Kano,44622,6.117921,4.536843,Out of Service,+234-711-3455,Green Solutions Ltd.,3.3
172,E-bike Station 172,Eco-business,This is a ev charging station located at Main St,417 Main St,Port Harcourt,11609,3.374142,4.658997,Under Maintenance,+234-795-6483,Sustainability Hub,4.7
173,E-bike Station 173,Eco-business,This is a ev charging station located at Market St,180 Broadway,Lagos,17462,1.202718,7.98381,Under Maintenance,+234-760-8425,EcoSave Corp.,4.5
174,Recycling Bin 174,EV Charging Station,This is a ev charging station located at Main St,290 Market St,Kano,24420,2.729025,3.47118,Operational,+234-813-7361,EcoSave Corp.,4.6
175,Eco-business 175,Eco-business,This is a solar panel station located at Main St,306 Market St,Lagos,57528,3.109307,4.890679,Out of Service,+234-726-6513,Eco Future Inc.,3.2
176,Recycling Bin 176,E-bike Station,This is a ev charging station located at Market St,199 Sunset Blvd,Kano,21434,1.025168,7.84299,Out of Service,+234-850-7254,Eco Future Inc.,3.4
177,EV Charging Station 177,E-bike Station,This is a ev charging station located at Highland Ave,204 Broadway,Port Harcourt,63906,-1.250408,7.913103,Operational,+234-860-2075,Sustainability Hub,4.7
178,EV Charging Station 178,Eco-business,This is a ev charging station located at Highland Ave,768 Sunset Blvd,Kano,92241,5.615035,6.36664,Under Maintenance,+234-788-5708,GreenTech Co.,4.5
179,Solar Panel Station 179,EV Charging Station,This is a eco-business located at Market St,603 Highland Ave,Ibadan,54731,0.478821,4.187679,Out of Service,+234-879-4870,EcoSave Corp.,3.1
180,Eco-business 180,Eco-business,This is a e-bike station located at Sunset Blvd,325 Broadway,Ibadan,31172,-1.065318,7.679623,Under Maintenance,+234-788-3987,Sustainability Hub,3.6
181,E-bike Station 181,Solar Panel Station,This is a solar panel station located at Market St,507 Broadway,Abuja,96608,-0.885506,3.487778,Out of Service,+234-824-1750,Sustainability Hub,4.7
182,Eco-business 182,Solar Panel Station,This is a solar panel station located at Sunset Blvd,337 Highland Ave,Ibadan,43570,1.25507,7.138819,Out of Service,+234-748-2421,EcoSave Corp.,3.6
183,Eco-business 183,E-bike Station,This is a eco-business located at Highland Ave,779 Highland Ave,Abuja,35492,4.774359,3.629659,Out of Service,+234-708-2854,GreenTech Co.,4.5
184,EV Charging Station 184,EV Charging Station,This is a eco-business located at Market St,427 Market St,Lagos,11584,2.784388,3.878092,Operational,+234-783-1118,Green Solutions Ltd.,3.3
185,Eco-business 185,Eco-business,This is a ev charging station located at Highland Ave,717 Sunset Blvd,Lagos,27054,0.07716,7.057528,Under Maintenance,+234-881-4786,Eco Future Inc.,3.1
186,EV Charging Station 186,Eco-business,This is a ev charging station located at Highland Ave,889 Broadway,Lagos,69673,-0.793113,6.630397,Under Maintenance,+234-710-6898,GreenTech Co.,3.7
187,Recycling Bin 187,Eco-business,This is a solar panel station located at Highland Ave,908 Highland Ave,Kano,48076,1.980585,4.576071,Out of Service,+234-724-6078,EcoSave Corp.,3.6
188,EV Charging Station 188,Recycling Bin,This is a e-bike station located at Highland Ave,408 Sunset Blvd,Kano,97190,0.057856,7.65071,Out of Service,+234-780-4387,EcoSave Corp.,3.9
189,Recycling Bin 189,Eco-business,This is a recycling bin located at Market St,515 Main St,Port Harcourt,62259,5.052053,7.489807,Under Maintenance,+234-798-9593,Eco Future Inc.,3.3
190,Recycling Bin 190,Solar Panel Station,This is a recycling bin located at Main St,191 Main St,Kano,60655,-0.21134,4.952873,Under Maintenance,+234-838-2443,EcoSave Corp.,3.2
191,Eco-business 191,E-bike Station,This is a e-bike station located at Sunset Blvd,781 Broadway,Ibadan,81323,5.82306,6.962863,Operational,+234-858-4079,Sustainability Hub,4.6
192,E-bike Station 192,Solar Panel Station,This is a e-bike station located at Market St,257 Broadway,Ibadan,98955,3.310933,6.426945,Under Maintenance,+234-828-2905,EcoSave Corp.,3.9
193,Eco-business 193,E-bike Station,This is a e-bike station located at Broadway,288 Highland Ave,Kano,61919,-0.043925,4.353561,Under Maintenance,+234-812-5616,EcoSave Corp.,3.2
194,Solar Panel Station 194,Solar Panel Station,This is a ev charging station located at Market St,352 Sunset Blvd,Port Harcourt,92332,5.378151,6.014046,Under Maintenance,+234-898-4615,GreenTech Co.,3.7
195,Eco-business 195,Solar Panel Station,This is a ev charging station located at Market St,758 Sunset Blvd,Lagos,35526,2.538316,6.434027,Under Maintenance,+234-809-2203,Eco Future Inc.,3.7
196,EV Charging Station 196,Recycling Bin,This is a e-bike station located at Broadway,356 Sunset Blvd,Ibadan,85049,2.92458,7.917089,Operational,+234-759-7991,Green Solutions Ltd.,3.4
197,Eco-business 197,E-bike Station,This is a ev charging station located at Main St,619 Main St,Port Harcourt,16080,1.94198,7.381909,Under Maintenance,+234-782-6813,Sustainability Hub,3.2
198,EV Charging Station 198,Recycling Bin,This is a e-bike station located at Market St,544 Market St,Kano,46832,6.216792,3.331472,Under Maintenance,+234-865-6533,Eco Future Inc.,3.3
199,EV Charging Station 199,EV Charging Station,This is a eco-business located at Broadway,547 Market St,Lagos,22816,1.101252,4.56411,Operational,+234-770-8706,Green Solutions Ltd.,4.4
200,Recycling Bin 200,E-bike Station,This is a solar panel station located at Broadway,901 Highland Ave,Lagos,91000,4.203401,5.760542,Under Maintenance,+234-818-6196,Green Solutions Ltd.,3.5
